COUNTRY,INDICATOR,FREQUENCY,SCALE,TAHUN,VALUE
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2027,1.22
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2028,0.92
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2029,0.61
Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2030,0.30
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2000,4.45
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2001,3.95
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2002,3.68
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2003,3.17
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2004,1.88
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2005,0.51
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2006,2.41
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2007,1.45
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2008,0.02
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2009,1.84
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2010,0.70
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2011,0.19
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2012,-2.66
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2013,-3.19
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2014,-3.09
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2015,-2.04
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2016,-1.82
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2017,-1.59
