COUNTRY,INDICATOR,FREQUENCY,SCALE,Year,Value,Type
Singapore,Unemployment rate,Annual,Units,2007,2.12,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2007,27.14,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2008,1.86,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,6.64,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2008,3.59,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2008,5.35,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2008,-3.42,Actual
Singapore,Unemployment rate,Annual,Units,2008,2.23,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2008,15.08,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2009,0.13,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2009,0.59,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2009,-0.09,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2009,-0.53,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2009,-2.85,Actual
Singapore,Unemployment rate,Annual,Units,2009,3.02,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2009,16.39,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2010,14.52,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,2.83,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2010,5.68,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2010,4.59,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2010,12.51,Actual
Singapore,Unemployment rate,Annual,Units,2010,2.17,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2010,22.93,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2011,6.21,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,5.25,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2011,7.96,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2011,5.54,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2011,4.02,Actual
Singapore,Unemployment rate,Annual,Units,2011,2.02,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2011,22.22,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2012,4.44,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,4.58,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2012,7.34,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2012,4.32,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2012,1.90,Actual
Singapore,Unemployment rate,Annual,Units,2012,1.95,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2012,17.64,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2013,4.82,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,2.36,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2013,5.96,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2013,1.50,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2013,3.13,Actual
Singapore,Unemployment rate,Annual,Units,2013,1.90,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2013,15.71,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2014,3.94,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2014,1.03,Actual
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2014,4.60,Actual
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2014,-0.06,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2014,2.59,Actual
Singapore,Unemployment rate,Annual,Units,2014,1.95,Actual
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2014,17.95,Actual
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2015,2.98,Actual
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,-0.52,Actual
