"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.APD:APDREO(6.0.0)","JPN.NGDP_R_PPP_PC_PCH.A","OBS_VALUE","Japan","Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change","Annual","Units","2.56669856850364","0.148407361922795","-0.168486290450533","1.34892923103689","2.10609605620927","1.78990882611413","1.3768932072587","1.47509918161095","-1.17394414157606","-5.58841176363799","4.06220324348585","-0.161244663318367","1.59655903724276","2.18067281660616","0.464307491486357","1.67422198547581","0.767666967046769","1.84705009280496","0.842846940674381","-0.185519930573941","-3.8855123723977","2.98867719101735","1.30686399886655","1.71701028989343"
"IMF.APD:APDREO(6.0.0)","JPN.GGXCNL_GDP.A","OBS_VALUE","Japan","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP","Annual","Units","-7.28184606488615","-6.2004811776985","-7.33596998314708","-7.43328752270889","-5.31417683649575","-4.43848029991985","-3.02881214238012","-2.90104411108332","-4.10968584592055","-9.69296381125409","-9.0758106433122","-8.98552414418362","-8.19647990127771","-7.61137297656028","-5.61605177684132","-3.67778966471164","-3.59960952640932","-3.09881335736874","-2.47140785236012","-3.04464386696872","-9.07507716631326","-6.12770610790747","-4.21470436948832","-2.26070948836044"
"IMF.APD:APDREO(6.0.0)","JPN.PCPIE_PCH.A","OBS_VALUE","Japan","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","-0.767798029086147","-0.909273153387869","-0.531848040249413","-0.303061920761927","0.531024453286435","-0.759318384851665","0.367464059763641","0.511289723220374","1.07046537304472","-2.00087836816482","-0.255519478033595","-0.302664769041773","-0.246356252518464","1.39524654585488","2.54873650021581","0.19460208712189","0.263947061013527","0.546248475715808","0.867665030265923","0.510643917658813","-0.918513650252005","0.504535547734037","3.85977323255418","2.90814526783136"
"IMF.APD:APDREO(6.0.0)","JPN.PCPI_PCH.A","OBS_VALUE","Japan","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","-0.687078027379522","-0.693648255252973","-0.896689601354997","-0.262860659133378","-0.0096890926701559","-0.288443445864539","0.255676109696214","0.0463734395377507","1.38223919822195","-1.33101394379819","-0.74238097010705","-0.277477409998094","-0.0486715086363436","0.331561315834681","2.75795238113163","0.798823321083801","-0.123908798017828","0.486668785628287","0.989765457157681","0.468551419620337","-0.0268459685670875","-0.234977985255625","2.49596296570849","3.26781559169848"
"IMF.APD:APDREO(6.0.0)","JPN.NGDP_RPCH.A","OBS_VALUE","Japan","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency","Annual","Units","2.76466884467896","0.386082625784551","0.0419624991898534","1.53514613144454","2.18609493012027","1.80392075761649","1.37233032655278","1.48396941152034","-1.22428900063264","-5.69321713670276","4.09789670150796","0.0238095238095238","1.37475099913554","2.00510017680304","0.296186583539061","1.56064586598245","0.753845330407381","1.675312997164","0.643409165124633","-0.402187154021169","-4.16878266985247","2.69659343676901","0.960406958771371","1.24507652425563"
"IMF.APD:APDREO(6.0.0)","JPN.BCA_GDP_BP6.A","OBS_VALUE","Japan","Current account balance (credit less debit), Percent of GDP in US dollars","Annual","Units","2.6284546679409","1.97016565185258","2.60944996856429","3.08518948076502","3.72084664305031","3.52055527193219","3.79168382795644","4.63298375241497","2.79188364418528","2.74526030362961","3.8384686065675","2.08372644061536","0.951391436636052","0.881593222846954","0.750882702154293","3.06973686585513","3.95267620911864","4.12779598063054","3.52758389237716","3.44550980633367","2.96663115117684","3.89363473163602","2.10894696120335","3.70733900049934"
"IMF.APD:APDREO(6.0.0)","JPN.LUR.A","OBS_VALUE","Japan","Unemployment rate","Annual","Units","4.73333333333333","5.04166666666667","5.35833333333333","5.24166666666668","4.73333333333333","4.425","4.11666666666665","3.83333333333333","3.98333333333335","5.075","5.05833333333335","4.58333333333335","4.325","4.00833333333335","3.58333333333335","3.375","3.10833333333332","2.81666666666667","2.43333333333333","2.35833333333333","2.8","2.81666666666667","2.59166666666667","2.575"
