DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,INDICATOR,FREQUENCY,SCALE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
IMF.APD:APDREO(6.0.0),IDN.GGXCNL_GDP.A,OBS_VALUE,Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,-1.869997613,-1.763397994,-0.576078316,-1.077269176,-0.260194006,0.461782595140813,0.450943401808915,-0.952682535,0.0541130012556784,-1.644375355,-1.242440318,-0.703538423,-1.586458811,-1.955567548,-1.804539527,-2.723921553,-2.560963175,-2.263975689,-1.69005943,-2.090624146,-6.074859332,-4.404852088,-2.307064171,-1.641797331,,
IMF.APD:APDREO(6.0.0),IDN.NGDP_R_PPP_PC_PCH.A,OBS_VALUE,Indonesia,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,3.78000747817236,2.18619246091319,3.03016043025339,3.30710664562951,3.55408654626842,4.20648593516114,4.01755629144524,4.84975897837777,5.93108953834428,3.22961070361393,4.88190450495384,4.26156170569398,4.5462575911867,4.11787788872069,3.61303292539781,3.63623576095839,3.68637016349422,3.92041457420294,4.05706034663979,3.93715328740062,-3.258692163,2.76152724168164,4.14582330541433,3.92717336726463,5.03,
IMF.APD:APDREO(6.0.0),IDN.BCA_GDP_BP6.A,OBS_VALUE,Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,4.45170113047702,3.95399490235262,3.67563943883356,3.17491065427772,1.88226899635824,0.513013755209325,2.40649261573986,1.44553963062739,0.0224942451290999,1.83700674694578,0.702294698350775,0.188704844408428,-2.660295359,-3.189993165,-3.088140457,-2.035007769,-1.819277802,-1.594676096,-2.939072005,-2.705640775,-0.418610046,0.295889673941387,1.00182876660309,-0.148899342,,
IMF.APD:APDREO(6.0.0),IDN.PCPIE_PCH.A,OBS_VALUE,Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,9.32964754664843,12.5790139064475,9.93769470404984,5.18560498724851,6.38469827586207,17.14358065,6.59316904453091,5.77976069762726,11.0621165644172,2.77921629552909,6.95330870003359,3.78454773869347,3.6465425934332,8.08759124087591,8.36034575904916,3.35286052598779,3.02701398938736,3.60529088142339,3.16348435205062,2.58460190559632,1.6760969360521,1.87946241075178,5.41069772235391,2.80602268283144,1.57,2.72
IMF.APD:APDREO(6.0.0),IDN.NGDP_RPCH.A,OBS_VALUE,Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,4.97865342401707,3.64347008340275,4.49947388269436,4.78036962894682,5.03087171075095,5.69257496944693,5.50095099946876,6.34502173162175,7.44177315021486,4.70176851705064,6.37762568565668,6.16978420771007,6.03005065305614,5.5572636889101,5.00666842575499,4.87632230022123,5.03306918280178,5.06978590134918,5.17429153955026,5.01928768046283,-2.065511829,3.70288562827753,5.30719722664798,5.04902331835998,,
IMF.APD:APDREO(6.0.0),IDN.LUR.A,OBS_VALUE,Indonesia,Unemployment rate,Annual,Units,6.08,8.1,9.06,9.67,9.86,11.24,10.28,9.11,8.39,7.87,7.14,6.56,6.14,6.25,5.94,6.18,5.61,5.5,5.34,5.28,7.07,6.49,5.86,5.32,4.91,4.85
IMF.APD:APDREO(6.0.0),IDN.PCPI_PCH.A,OBS_VALUE,Indonesia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,3.68805335173059,11.4662748468298,11.9080472458327,6.79144780646593,6.06165569795636,10.4637491835402,13.0991800693787,6.31905475584685,9.87083661159186,4.80381918543948,5.1373665480427,5.34532013701783,3.97907643271171,6.41014548286209,6.39919153434246,6.36040088211533,3.52993102315647,3.80714434430862,3.29121419634589,2.8220325661818,2.03145655164972,1.56090252071211,4.13864324704293,3.7125,1.57,2.72
