COUNTRY,INDICATOR,FREQUENCY,SCALE,Year,Value,Type
Japan,Unemployment rate,Annual,Units,2007,3.83,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2008,-1.17,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2008,-4.11,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2008,1.07,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,1.38,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2008,-1.22,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2008,2.79,Actual
Japan,Unemployment rate,Annual,Units,2008,3.98,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2009,-5.59,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2009,-9.69,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2009,-2.00,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2009,-1.33,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2009,-5.69,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2009,2.75,Actual
Japan,Unemployment rate,Annual,Units,2009,5.08,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2010,4.06,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2010,-9.08,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2010,-0.26,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2010,-0.74,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2010,4.10,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2010,3.84,Actual
Japan,Unemployment rate,Annual,Units,2010,5.06,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2011,-0.16,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2011,-8.99,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2011,-0.30,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2011,-0.28,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2011,0.02,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2011,2.08,Actual
Japan,Unemployment rate,Annual,Units,2011,4.58,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2012,1.60,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2012,-8.20,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2012,-0.25,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2012,-0.05,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2012,1.37,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2012,0.95,Actual
Japan,Unemployment rate,Annual,Units,2012,4.33,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2013,2.18,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2013,-7.61,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2013,1.40,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2013,0.33,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2013,2.01,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2013,0.88,Actual
Japan,Unemployment rate,Annual,Units,2013,4.01,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2014,0.46,Actual
Japan,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,Units,2014,-5.62,Actual
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",Annual,Units,2014,2.55,Actual
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2014,2.76,Actual
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,Units,2014,0.30,Actual
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,Units,2014,0.75,Actual
Japan,Unemployment rate,Annual,Units,2014,3.58,Actual
Japan,"Gross domestic product (GDP), Constant prices, Purchasing power parity (PPP) per capita percent change",Annual,Units,2015,1.67,Actual
